name,category,resources,dependencies,start_us,duration_us,end_us,blocking_event,description
norm1,norm,GPU_COMPUTE,,0.000000000,1.008192000,1.008192000,,RMSNorm
qkv,qkv,GPU_COMPUTE,norm1,1.008192000,3.635776000,4.643968000,norm1,QKV projection
rope,rope,GPU_COMPUTE,qkv,4.643968000,1.018432000,5.662400000,qkv,QK norm and RoPE
attention,attention,PIM_COMPUTE,rope,5.662400000,17.577216000,23.239616000,rope,decode attention on PIM
o_proj,attention_output,GPU_COMPUTE,attention,23.239616000,3.109440000,26.349056000,attention,attention output projection
residual1,residual,GPU_COMPUTE,o_proj,26.349056000,1.012288000,27.361344000,o_proj,residual add
norm2,norm,GPU_COMPUTE,residual1,27.361344000,1.008192000,28.369536000,residual1,RMSNorm
router,router,GPU_COMPUTE,norm2,28.369536000,2.069888000,30.439424000,norm2,MoE router
metadata,metadata,GPU_COMPUTE,router,30.439424000,1.000128000,31.439552000,router,routing metadata
dispatch,dispatch,,metadata,31.439552000,0.000000000,31.439552000,metadata,single-GPU dispatch placeholder
scheduler,scheduler,GPU_COMPUTE,metadata,31.439552000,0.000000000,31.439552000,metadata,pimoe placement policy
gpu_weight_load,gpu_weight_load,HBM_MEM_PATH,scheduler,31.439552000,2.359296000,33.798848000,scheduler,expert weights HBM to GPU
gpu_expert_compute,gpu_expert,GPU_COMPUTE,gpu_weight_load;dispatch,33.798848000,3.054525952,36.853373952,gpu_weight_load,grouped expert GEMM
pim_gwrite,pim_write,GPU_PIM_IO,scheduler;dispatch,31.439552000,0.076112000,31.515664000,scheduler,PIM_GWRITE token operands
pim_expert_compute,pim_expert,PIM_COMPUTE,pim_gwrite,31.515664000,67.812048000,99.327712000,pim_gwrite,serialized PIM expert GEMV
pim_read,pim_read,GPU_PIM_IO,pim_expert_compute,99.327712000,0.076112000,99.403824000,pim_expert_compute,PIM expert result read
combine,combine,GPU_COMPUTE,gpu_expert_compute;pim_read,99.403824000,1.036864000,100.440688000,pim_read,weighted expert combine
residual2,residual,GPU_COMPUTE,combine,100.440688000,1.012288000,101.452976000,combine,residual add
